,ts,type,Market,Side,event,details,ev,strategy
78,2026-03-11T03:37:51.909Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Price feed invalid,0,unknown
79,2026-03-11T03:37:51.909Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Price feed invalid,0,unknown
80,2026-03-11T03:37:50.906Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
81,2026-03-11T03:37:50.906Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
82,2026-03-11T03:37:49.875Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
83,2026-03-11T03:37:49.875Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
84,2026-03-11T03:37:48.872Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
85,2026-03-11T03:37:48.872Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
86,2026-03-11T03:37:47.862Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
87,2026-03-11T03:37:47.862Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
89,2026-03-11T03:37:46.860Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
88,2026-03-11T03:37:46.860Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
90,2026-03-11T03:37:45.856Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
91,2026-03-11T03:37:45.856Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
92,2026-03-11T03:37:44.851Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
93,2026-03-11T03:37:44.851Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
94,2026-03-11T03:37:43.848Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
95,2026-03-11T03:37:43.848Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
96,2026-03-11T03:37:42.844Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
97,2026-03-11T03:37:42.844Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
98,2026-03-11T03:37:41.841Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Price feed invalid,0,unknown
99,2026-03-11T03:37:41.841Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Price feed invalid,0,unknown
